"Date","Price","Open","High","Low","Vol.","Change %"
"11/05/2021","3,491.57","3,520.21","3,525.87","3,491.46","35.45B","-1.00%"
"11/04/2021","3,526.87","3,505.89","3,527.95","3,503.01","31.94B","0.81%"
"11/03/2021","3,498.54","3,501.10","3,512.61","3,480.49","30.66B","-0.20%"
"11/02/2021","3,505.63","3,543.38","3,559.05","3,477.66","41.76B","-1.10%"
"11/01/2021","3,544.48","3,530.40","3,556.59","3,519.29","38.23B","-0.08%"
"10/29/2021","3,547.34","3,519.33","3,547.34","3,502.80","35.88B","0.82%"
"10/28/2021","3,518.42","3,548.70","3,552.04","3,509.49","37.82B","-1.23%"
"10/27/2021","3,562.31","3,589.86","3,589.86","3,553.13","35.06B","-0.98%"
"10/26/2021","3,597.64","3,612.83","3,625.02","3,589.71","33.73B","-0.34%"
"10/25/2021","3,609.86","3,574.26","3,611.09","3,564.21","32.12B","0.76%"
"10/22/2021","3,582.60","3,594.75","3,607.58","3,578.76","35.32B","-0.34%"
"10/21/2021","3,594.78","3,590.05","3,610.96","3,576.35","35.23B","0.22%"
"10/20/2021","3,587.00","3,583.24","3,596.05","3,574.30","34.42B","-0.17%"
"10/19/2021","3,593.15","3,562.30","3,596.79","3,560.62","33.42B","0.70%"
"10/18/2021","3,568.14","3,571.05","3,571.05","3,539.48","34.10B","-0.12%"
"10/15/2021","3,572.37","3,551.99","3,578.77","3,542.69","32.03B","0.40%"
"10/14/2021","3,558.28","3,555.11","3,569.69","3,547.18","29.50B","-0.10%"
"10/13/2021","3,561.76","3,543.49","3,569.13","3,515.65","32.51B","0.42%"
"10/12/2021","3,546.94","3,581.30","3,583.64","3,515.14","40.54B","-1.25%"
"10/11/2021","3,591.71","3,600.36","3,614.70","3,586.75","39.44B","-0.01%"
"10/08/2021","3,592.17","3,609.09","3,612.55","3,571.73","40.72B","0.67%"
"09/30/2021","3,568.17","3,541.93","3,572.43","3,541.93","39.56B","0.90%"
